threshold,macro_f1,fatal_precision,fatal_recall,fatal_f1,predicted_fatal_proportion
0.0,0.008506522934818789,0.01292470079787234,1.0,0.025519568804456366,1.0
0.005,0.00899605763004457,0.012931755031025734,0.9998713909073371,0.025533277501354746,0.9993259640957447
0.01,0.011024475891086965,0.012965339858537183,0.9996784772683429,0.025598677418133136,0.9965450465425532
0.015,0.014340419752598995,0.013019297281355568,0.999228345444023,0.0257036921247189,0.991968085106383
0.02,0.018436556880067345,0.01308937806913976,0.9987782136197029,0.025840111399295602,0.9862125997340425
0.025,0.023176748228347064,0.013167374850110365,0.9977493408784001,0.02599173477575512,0.9793608710106383
0.03,0.02848287078229435,0.01324821086286575,0.9960131181274516,0.026148612717250927,0.9716913231382979
0.035,0.0341111221386114,0.013333448378510136,0.9936981544595203,0.026313817776854466,0.9632355385638298
0.04,0.040037714428481995,0.013431071916588358,0.9917047135232461,0.02650319990651186,0.9543159906914893
0.045,0.046162390711378946,0.013537989498601778,0.9896469680406405,0.026710588431312656,0.9448146609042554
0.05,0.05255168524740191,0.013642955392764005,0.9866889589093949,0.026913773839404895,0.9347431848404255
0.055,0.05893594380868223,0.013754453341388228,0.9838595588708121,0.027129631764011213,0.924507147606383
0.06,0.065561180875999,0.013876659996361652,0.9810301588322294,0.02736622506280545,0.9137300531914894
0.065,0.0723173865754907,0.01400586279080262,0.977943540608321,0.02761621308501501,0.9024526263297873
0.07,0.07910563717129415,0.014143715905125032,0.9746640087454183,0.027882813815026403,0.8906599069148936
0.075,0.08617907790089263,0.014284686989646748,0.9708057359655328,0.028155092655189166,0.8783793218085106
0.08,0.09338218468273252,0.014438450296047766,0.9668831586393158,0.028452026942003165,0.865513630319149
0.085,0.10121515547374467,0.01462839826653871,0.9635393222300817,0.02881926413171004,0.8513206449468085
0.09,0.10895162422916886,0.014818147686843345,0.959359526718539,0.02918549978138752,0.8367736037234043
0.095,0.11630576244117763,0.01501136183373631,0.9553726448459906,0.02955828694437702,0.8225706449468085
0.1,0.12365490997467764,0.015204334279339654,0.9504854993248023,0.02992989831002685,0.8079762300531915
0.105,0.1312634459699187,0.01541612097177556,0.9454054401646197,0.03033754699616602,0.7926171875
