model,accuracy,macro_f1,fatal_precision,fatal_recall,fatal_f1,serious_f1,slight_f1
XGBoost baseline (downsampled),0.5864053692736308,0.3410755195970963,0.08031272210376687,0.02967436974789916,0.04333652924256951,0.2617439721478043,0.7181460574009151
XGBoost (class-weighted),0.5397848072415798,0.31854819982268073,0.03349925819109552,0.634453781512605,0.06363839903067339,0.1835979167973897,0.7084082836399792
"XGBoost (class-weighted, tuned)",0.5435573138664281,0.3224189605537144,0.03443821286785557,0.5740546218487395,0.06497830093335712,0.19407888417129354,0.7081996965564924
XGBoost (interpolated class weight),0.6512081205841432,0.3390134576436739,0.037294293652489846,0.5498949579831933,0.06985122423110281,0.1454133768544249,0.801775771845494
XGBoost (joint hyperparameter and class-weight tuned),0.7757552667117962,0.33591602352669764,0.048550577741739306,0.37736344537815125,0.08603244926061186,0.0378803512875192,0.8838352700319619
Ordinal cumulative XGBoost,0.6517932162915138,0.2969234262419492,0.03181931130089063,0.6389180672268907,0.06061965093246627,0.018993037465068915,0.8111575903283123
