threshold,macro_f1,fatal_precision,fatal_recall,fatal_f1,predicted_fatal_proportion
0.0,0.008506522934818789,0.01292470079787234,1.0,0.025519568804456366,1.0
0.005,0.009223785223471259,0.01293739949202134,1.0,0.025544321887037296,0.9990184507978723
0.01,0.015855356686198432,0.013042992666465686,0.9987782136197029,0.025749721066793105,0.9897199135638298
0.015,0.028951523197834162,0.013259422554202427,0.9959488135811202,0.02617042883478396,0.9708070146276596
0.02,0.046926782136678204,0.013575107163783268,0.9907401453282747,0.026783230884766224,0.9432721077127659
0.025,0.07138208988209628,0.014052061100879773,0.9818018133882066,0.027707557150919805,0.9030344082446808
0.03,0.10404150967336466,0.01481677744201531,0.9673332904636358,0.029186501218933684,0.8438065159574468
0.035,0.14153606839514385,0.01587241535486479,0.944247958330654,0.031220034910989732,0.7688887965425532
0.04,0.1814047084582577,0.017351901514445822,0.9103594624139927,0.03405470353981769,0.6780884308510639
0.045,0.21419305924421161,0.01910718996065754,0.8756993119413543,0.037398371751019885,0.5923503989361703
0.05,0.236765402366401,0.020743552775571373,0.8447045206096071,0.04049271895537663,0.5263106715425532
0.055,0.2532475572559607,0.02229506932934329,0.8182753520673912,0.04340744151934573,0.4743633643617021
0.06,0.26449625176184527,0.02355625267360616,0.7967333290463636,0.04575957571750941,0.43714677526595747
0.065,0.27371554714872603,0.024737109155934994,0.7743553469230274,0.04794266945356823,0.4045869348404255
0.07,0.28133238855334736,0.025963990418051155,0.7562214648575655,0.050204275047706866,0.3764419880319149
0.075,0.2874859870210146,0.027020727035560653,0.7379589736994405,0.05213259377370747,0.3529845412234043
0.08,0.2928851545968826,0.02807820299500832,0.7205324416436242,0.05405014290365761,0.3316688829787234
0.085,0.2976471386359692,0.02906302838244521,0.702977300495145,0.055818370738756035,0.31262300531914894
0.09,0.3020166415300666,0.03010234119930477,0.6871583820976143,0.05767798348356453,0.29503740026595743
0.095,0.30597048973375346,0.031139063175308127,0.6717895955244035,0.05951926528147308,0.2788356050531915
0.1,0.30957234910894443,0.032074591780787386,0.6545559771075815,0.06115258106667067,0.26375831117021276
0.105,0.3127874630981008,0.03303609708757225,0.6391871905343708,0.06282510728935575,0.25006898271276595
0.11,0.31576907930797415,0.03398448328496788,0.6227895312198573,0.0644519422095337,0.23685422207446807
0.115,0.3186852554086193,0.0349924574037902,0.6070992219149894,0.06617090470716869,0.2242362034574468
0.12,0.3213007391701657,0.03586204736984253,0.5891582534885217,0.06760875179869387,0.21233294547872342
0.125,0.32392578333919303,0.03681060370715543,0.5714745032473796,0.06916599215490941,0.20065242686170212
0.13,0.32641541426339266,0.03783596521617106,0.5548196257475404,0.07084092812453816,0.18952543218085105
0.135,0.32872889774418557,0.038825735543881364,0.5365571345894155,0.07241169834244554,0.17861452792553192
0.14,0.33087130301988293,0.03972594625545442,0.5175229888753134,0.07378781419186849,0.16837433510638297
0.145,0.3329868449363511,0.04086112770215754,0.5015111568387886,0.07556548152526198,0.1586319813829787
0.15,0.3348933880484204,0.041852746934548005,0.48331297022699504,0.07703463791362813,0.14925365691489362
0.155,0.33677677138703616,0.0428648363939801,0.4657578290785159,0.07850469315644577,0.1404363364361702
0.16,0.3386943928764574,0.044021194689986706,0.4492958652176709,0.0801859184024789,0.1319140625
0.165,0.3403578866196065,0.04507138594008812,0.4321908558935117,0.08162992651970608,0.12393533909574468
0.17,0.3419547266546516,0.0462130388314927,0.4170792875056267,0.08320665037427598,0.1166472739361702
0.17500000000000002,0.343244209724978,0.04709577326219397,0.40016719182046173,0.08427339084273391,0.10981964760638298
0.18,0.3446026753027806,0.04808065455015846,0.38241913703298824,0.08542146955953432,0.10279920212765957
0.185,0.3458182056410726,0.049112670243499794,0.3673075686451032,0.0866406279625346,0.0966622340425532
0.19,0.34698171044338216,0.050071504528620144,0.3512314320622468,0.08764793196132707,0.09066156914893617
0.195,0.3480820249553156,0.051087882914213505,0.33534820911838464,0.0886678568392417,0.08483959441489362
0.2,0.34914719670539446,0.05199591445629626,0.31753584978457977,0.08935939196525516,0.07893035239361702
0.20500000000000002,0.3502122865023702,0.05305622917752646,0.3010738859237348,0.09021455340713122,0.07334275265957446
0.21,0.35115539939209867,0.05404208739714908,0.2825541765802842,0.09073076049474488,0.06757563164893617
0.215,0.35215577720747376,0.055341072474572664,0.26731399909973635,0.09169819228605777,0.062430186170212766
0.22,0.3531196686927482,0.05655687665339109,0.25020898977557715,0.09225954071773228,0.05717918882978723
0.225,0.3543344026476292,0.05838534966090119,0.23638351231432062,0.09364173629508865,0.05232795877659575
0.23,0.3549513655296726,0.05954132410212029,0.22120763938010418,0.09382756457463928,0.04801778590425532
0.23500000000000001,0.35569660555883353,0.06099016654351162,0.20699633464085912,0.09421923020635153,0.043865525265957446
0.24,0.35590537235286207,0.06173173318912623,0.1908558935116713,0.0932893289328933,0.039959275265957446
0.245,0.35634611803609806,0.06317503267674104,0.1771590251430776,0.09313725490196079,0.03624418218085106
0.25,0.3564709112100663,0.064067762529533,0.16391228859880394,0.09212642535735584,0.03306682180851064
0.255,0.3565810939728646,0.06513842258792449,0.15220886116648447,0.09123320935072944,0.030201130319148936
0.26,0.35703807839506707,0.067153416261042,0.14372066105073628,0.09153646099973378,0.02766123670212766
0.265,0.357168577880616,0.06867288987531824,0.13529676548131953,0.09110394249713136,0.025463763297872342
0.27,0.3571942207460599,0.07003918522963956,0.12758021992154844,0.09043256301563427,0.02354305186170213
0.275,0.3567603117456428,0.07038936372269705,0.11915632435213169,0.08849937911930461,0.021879155585106384
0.28,0.3564960194297307,0.07134670487106017,0.11208282425567488,0.08719141592256321,0.020304188829787233
0.28500000000000003,0.35642042976290944,0.0728176698345653,0.10642402417850942,0.08647038846364848,0.018889627659574467
0.29,0.35600296741864673,0.07337940111878907,0.10037939682335541,0.08478166413208776,0.01768035239361702
0.295,0.3555338762634086,0.0738362760834671,0.09465629219985854,0.08295995716741342,0.016569148936170213
0.3,0.35523197590312394,0.07489694309117191,0.08996206031766446,0.08174116272275782,0.015524434840425531
0.305,0.3551366949028491,0.07683446607533695,0.08578226480612179,0.08106219426974144,0.014429853723404256
0.31,0.3547747369820356,0.07821506042764177,0.08115233747025914,0.0796566306886322,0.013410073138297873
0.315,0.3538977384223428,0.07842477280376978,0.07491479647611086,0.07662961257646517,0.01234624335106383
0.32,0.3528415660561339,0.07871331159205455,0.06829142820397402,0.0731329408118996,0.01121343085106383
0.325,0.35187782838335174,0.07973888613452322,0.062053887209825735,0.06979351245796116,0.010058178191489362
0.33,0.35074854658103477,0.0808193668528864,0.05581634621567745,0.0660302004488228,0.008926196808510638
0.335,0.3494985527417453,0.08142946971284847,0.049964632499517714,0.061929621806878415,0.007930518617021277
0.34,0.34847883283703734,0.08311657602270041,0.04520609607099222,0.058561372818526386,0.007029587765957447
0.34500000000000003,0.34747304942405416,0.08454810495626822,0.04102630055944955,0.05524526994847816,0.006271609042553192
0.35000000000000003,0.3467434152098176,0.08736998514115898,0.037811073242878274,0.0527803958529689,0.005593417553191489
0.355,0.34599942986906457,0.0901394422310757,0.03491736865796412,0.05033603707995365,0.005006648936170212
0.36,0.3449337698050677,0.09134793910137393,0.03163783679506141,0.046998137268949705,0.004476396276595745
