,Severity score,Speed limit,Hour sin,Hour cos,Rush hour flag
Severity score,1.0,-0.0686369647146706,0.008525946785150453,-0.05055621698051613,0.030781597938764216
Speed limit,-0.0686369647146706,1.0,0.054420648574720516,0.015842114668965485,0.007120039572579315
Hour sin,0.008525946785150453,0.054420648574720516,1.0,-0.2946823202638928,-0.10440270542036806
Hour cos,-0.05055621698051613,0.015842114668965485,-0.2946823202638928,1.0,0.161881638145094
Rush hour flag,0.030781597938764216,0.007120039572579315,-0.10440270542036806,0.161881638145094,1.0
